date,total_sleep_time
2016-03-11,961
2016-03-12,8201
2016-03-13,7447
2016-03-14,6718
2016-03-15,6967
2016-03-16,7149
2016-03-17,6636
2016-03-18,6042
2016-03-19,5276
2016-03-20,6210
2016-03-21,5909
2016-03-22,4761
2016-03-23,6091
2016-03-24,6278
2016-03-25,5923
2016-03-26,6237
2016-03-27,7669
2016-03-28,7004
2016-03-29,7499
2016-03-30,7668
2016-03-31,7217
2016-04-01,7614
2016-04-02,8962
2016-04-03,7845
2016-04-04,7395
2016-04-05,6529
2016-04-06,7803
2016-04-07,6437
2016-04-08,4888
2016-04-09,8215
2016-04-10,6801
2016-04-11,6287
2016-04-12,6630
2016-04-13,7462
2016-04-14,7216
2016-04-15,7963
2016-04-16,7098
2016-04-17,6807
2016-04-18,5231
2016-04-19,6904
2016-04-20,7510
2016-04-21,6389
2016-04-22,6093
2016-04-23,7345
2016-04-24,7927
2016-04-25,5909
2016-04-26,6186
2016-04-27,7086
2016-04-28,7597
2016-04-29,6429
2016-04-30,8692
2016-05-01,9519
2016-05-02,6138
2016-05-03,5886
2016-05-04,6249
2016-05-05,5225
2016-05-06,5884
2016-05-07,6231
2016-05-08,7751
2016-05-09,5412
2016-05-10,5815
2016-05-11,5180
2016-05-12,3247
